food_name,category,healthy,long_covid,me_cfs,mcas,pots,notes
"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
Chicken or turkey chow mein or chop suey with noodles,"Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey, rice, corn, and cheese, with gravy",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Pot pie, chicken","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey, stuffing, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey,stuffing, and vegetables excluding carrots, broccoli, and dark green leafy; no sauce","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey, stuffing, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey, stuffing, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey, dumplings, and vegetables including carrots, broccoli, and/or dark green leafy; gravy","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey, dumplings, and vegetables excluding carrots, broccoli, and dark green leafy; gravy","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken fricassee, Puerto Rican style","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
Paella with seafood,Fish & seafood (fresh/frozen),ok,ok,ok,caution,ok,Shellfish high histamine; fresh fin fish ok for most
Shrimp chow mein or chop suey with noodles,Fish & seafood (fresh/frozen),ok,ok,ok,caution,ok,Shellfish high histamine; fresh fin fish ok for most
"Shrimp creole, with rice",Fish & seafood (fresh/frozen),ok,ok,ok,caution,ok,Shellfish high histamine; fresh fin fish ok for most
"Tuna noodle casserole with vegetables, cream or white sauce",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Fish, noodles, and vegetables including carrots, broccoli, and/or dark green leafy; cheese sauce",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Fish, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Soup, bouillabaisse",Soups & stews,ok,ok,ok,caution,ok,Homemade ok; stock/broth may be high histamine if slow-cooked
Tuna noodle casserole with vegetables and mushroom sauce,Fish & seafood (fresh/frozen),ok,ok,ok,caution,ok,Shellfish high histamine; fresh fin fish ok for most
"Codfish with starchy vegetables, Puerto Rican style",Fish & seafood (fresh/frozen),ok,ok,ok,caution,ok,Shellfish high histamine; fresh fin fish ok for most
"Biscayne codfish, Puerto Rican style",Fish & seafood (fresh/frozen),ok,ok,ok,caution,ok,Shellfish high histamine; fresh fin fish ok for most
"Stew, NFS",Soups & stews,ok,ok,ok,caution,ok,Homemade ok; stock/broth may be high histamine if slow-cooked
"Chow mein or chop suey, NS as to type of meat, with noodles",Pasta / noodles,ok,ok,ok,ok,neutral,Generally low histamine; check for additives
"Paella, NFS",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Chow mein or chop suey, various types of meat, with noodles",Pasta / noodles,ok,ok,ok,ok,neutral,Generally low histamine; check for additives
"Stewed tripe, with potatoes, Puerto Rican style",Potatoes / fries / chips,ok,caution,caution,caution,neutral,Potato itself ok; frying adds seed oils
Gumbo with rice,Rice,ok,ok,ok,ok,neutral,Low histamine; easily tolerated
Jambalaya with meat and rice,Rice,ok,ok,ok,ok,neutral,Low histamine; easily tolerated
"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce",Beef,ok,ok,ok,ok,neutral,Fresh/frozen ok; aged or slow-cooked raises histamine
"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",Beef,ok,ok,ok,ok,neutral,Fresh/frozen ok; aged or slow-cooked raises histamine
"Beef shish kabob with vegetables, excluding potatoes",Beef,ok,ok,ok,ok,neutral,Fresh/frozen ok; aged or slow-cooked raises histamine
"Beef with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",Beef,ok,ok,ok,ok,neutral,Fresh/frozen ok; aged or slow-cooked raises histamine
Swiss steak,Beef,ok,ok,ok,ok,neutral,Fresh/frozen ok; aged or slow-cooked raises histamine
"Beef rolls, stuffed with vegetables or meat mixture, tomato-based sauce",Beef,ok,ok,ok,ok,neutral,Fresh/frozen ok; aged or slow-cooked raises histamine
"Beef with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce",Beef,ok,ok,ok,ok,neutral,Fresh/frozen ok; aged or slow-cooked raises histamine
"Beef with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, mushroom sauce",Beef,ok,ok,ok,ok,neutral,Fresh/frozen ok; aged or slow-cooked raises histamine
"Beef with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, mushroom sauce",Beef,ok,ok,ok,ok,neutral,Fresh/frozen ok; aged or slow-cooked raises histamine
"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",Beef,ok,ok,ok,ok,neutral,Fresh/frozen ok; aged or slow-cooked raises histamine
Beef and broccoli,Beef,ok,ok,ok,ok,neutral,Fresh/frozen ok; aged or slow-cooked raises histamine
"Beef, tofu, and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",Beef,ok,ok,ok,ok,neutral,Fresh/frozen ok; aged or slow-cooked raises histamine
Szechuan beef,Beef,ok,ok,ok,ok,neutral,Fresh/frozen ok; aged or slow-cooked raises histamine
Hunan beef,Beef,ok,ok,ok,ok,neutral,Fresh/frozen ok; aged or slow-cooked raises histamine
"Beef chow mein or chop suey, no noodles",Beef,ok,ok,ok,ok,neutral,Fresh/frozen ok; aged or slow-cooked raises histamine
Kung Pao beef,Beef,ok,ok,ok,ok,neutral,Fresh/frozen ok; aged or slow-cooked raises histamine
"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",Beef,ok,ok,ok,ok,neutral,Fresh/frozen ok; aged or slow-cooked raises histamine
"Beef, tofu, and vegetables excluding carrots, broccoli,  and dark-green leafy; no potatoes, soy-based sauce",Beef,ok,ok,ok,ok,neutral,Fresh/frozen ok; aged or slow-cooked raises histamine
"Beef and vegetables, Hawaiian style",Beef,ok,ok,ok,ok,neutral,Fresh/frozen ok; aged or slow-cooked raises histamine
Pepper steak,Beef,ok,ok,ok,ok,neutral,Fresh/frozen ok; aged or slow-cooked raises histamine
"Beef, ground, with egg and onion",Eggs,ok,ok,ok,ok,neutral,Low histamine; well tolerated
Beef salad,Beef,ok,ok,ok,ok,neutral,Fresh/frozen ok; aged or slow-cooked raises histamine
"Beef taco filling: beef, cheese, tomato, taco sauce",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
Stir fried beef and vegetables in soy sauce,Beef,ok,ok,ok,ok,neutral,Fresh/frozen ok; aged or slow-cooked raises histamine
"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, gravy",Beef,ok,ok,ok,ok,neutral,Fresh/frozen ok; aged or slow-cooked raises histamine
"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, gravy",Beef,ok,ok,ok,ok,neutral,Fresh/frozen ok; aged or slow-cooked raises histamine
"Beef steak with onions, Puerto Rican style",Beef,ok,ok,ok,ok,neutral,Fresh/frozen ok; aged or slow-cooked raises histamine
Cabbage with ham hocks,Cured / processed meats,caution,caution,caution,avoid,neutral,Nitrates + high histamine; common MCAS trigger
Ham or pork salad,Cured / processed meats,caution,caution,caution,avoid,neutral,Nitrates + high histamine; common MCAS trigger
Frankfurters or hot dogs and sauerkraut,Cured / processed meats,caution,caution,caution,avoid,neutral,Nitrates + high histamine; common MCAS trigger
"Pork and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce",Pork,ok,ok,ok,caution,neutral,Fresh ok; cured/smoked versions high histamine
Greens with ham or pork,Cured / processed meats,caution,caution,caution,avoid,neutral,Nitrates + high histamine; common MCAS trigger
"Pork, tofu, and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-base sauce",Pork,ok,ok,ok,caution,neutral,Fresh ok; cured/smoked versions high histamine
"Pork and vegetables, Hawaiian style",Pork,ok,ok,ok,caution,neutral,Fresh ok; cured/smoked versions high histamine
Pork and watercress with soy-based sauce,Pork,ok,ok,ok,caution,neutral,Fresh ok; cured/smoked versions high histamine
Kung Pao pork,Pork,ok,ok,ok,caution,neutral,Fresh ok; cured/smoked versions high histamine
"Moo Shu pork, without Chinese pancake",Pork,ok,ok,ok,caution,neutral,Fresh ok; cured/smoked versions high histamine
Pork and onions with soy-based sauce,Pork,ok,ok,ok,caution,neutral,Fresh ok; cured/smoked versions high histamine
Pork hash,Pork,ok,ok,ok,caution,neutral,Fresh ok; cured/smoked versions high histamine
"Ham and vegetables including carrots broccoli, and/or dark- green leafy; no potatoes, no sauce",Cured / processed meats,caution,caution,caution,avoid,neutral,Nitrates + high histamine; common MCAS trigger
"Ham and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",Cured / processed meats,caution,caution,caution,avoid,neutral,Nitrates + high histamine; common MCAS trigger
"Pork and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",Pork,ok,ok,ok,caution,neutral,Fresh ok; cured/smoked versions high histamine
"Pork, tofu, and vegetables, excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce",Pork,ok,ok,ok,caution,neutral,Fresh ok; cured/smoked versions high histamine
"Pork chow mein or chop suey, no noodles",Pork,ok,ok,ok,caution,neutral,Fresh ok; cured/smoked versions high histamine
"Pork and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",Pork,ok,ok,ok,caution,neutral,Fresh ok; cured/smoked versions high histamine
"Pork and vegetables excluding  carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce",Pork,ok,ok,ok,caution,neutral,Fresh ok; cured/smoked versions high histamine
"Sausage and vegetables including  carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",Cured / processed meats,caution,caution,caution,avoid,neutral,Nitrates + high histamine; common MCAS trigger
"Sausage and vegetables, excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce",Cured / processed meats,caution,caution,caution,avoid,neutral,Nitrates + high histamine; common MCAS trigger
"Sausage and peppers, no sauce",Cured / processed meats,caution,caution,caution,avoid,neutral,Nitrates + high histamine; common MCAS trigger
"Pork and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",Pork,ok,ok,ok,caution,neutral,Fresh ok; cured/smoked versions high histamine
"Pork and vegetables excluding carrots, broccoli, and dark- green leafy; no potatoes, soy-based sauce",Pork,ok,ok,ok,caution,neutral,Fresh ok; cured/smoked versions high histamine
"Pork shish kabob with vegetables, excluding potatoes",Pork,ok,ok,ok,caution,neutral,Fresh ok; cured/smoked versions high histamine
"Lamb shish kabob with vegetables, excluding potatoes",Other meats,ok,ok,ok,caution,neutral,Fresh ok; preparation method matters
"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey shish kabob with vegetables, excluding potatoes","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey creole, without rice","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, gravy","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, gravy","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey a la king with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, cream, white, or soup-based sauce",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Chicken or turkey a la king with vegetables excluding carrorts, broccoli, and dark-green leafy; no potatoes, cream, white, or soup-based sauce",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
Chicken or turkey divan,"Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
General Tso chicken,"Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
Moo Goo Gai Pan,Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
Kung pao chicken,"Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
Almond chicken,"Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey chow mein or chop suey, no noodles","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey salad, made with mayonnaise","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
Chicken or turkey salad with nuts and/or fruits,"Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
Chicken or turkey salad with egg,Eggs,ok,ok,ok,ok,neutral,Low histamine; well tolerated
"Chicken or turkey salad, made with light mayonnaise","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey salad, made with mayonnaise-type salad dressing","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey salad, made with light mayonnaise-type salad dressing","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey salad, made with creamy dressing",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Chicken or turkey salad, made with light creamy dressing",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Chicken or turkey salad, made with Italian dressing","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey salad, made with light Italian dressing","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey salad, made with any type of fat free dressing","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey garden salad, chicken and/or turkey, tomato and/or carrots, other vegetables, no dressing","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey garden salad, chicken and/or turkey, other vegetables excluding tomato and carrots, no dressing","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Chicken or turkey, breaded, fried, garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Chicken or turkey garden salad with cheese, chicken and/or turkey, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Chicken or turkey, breaded, fried, garden salad with cheese, chicken and/or turkey, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Asian chicken or turkey garden salad with crispy noodles, chicken and/or turkey, lettuce, fruit, nuts, crispy noodles, no dressing","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey caesar garden salad, chicken and/or turkey, lettuce, tomato, cheese, no dressing",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Chicken or turkey, breaded, fried, caesar garden salad, chicken and/or turkey, lettuce, tomatoes, cheese, no dressing",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, cheese sauce",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, cheese sauce",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Chicken or turkey fricassee, with sauce, no potatoes, potatoes reported separately, Puerto Rican style","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
"Chicken or turkey fricassee, no sauce, no potatoes, Puerto Rican style","Poultry (chicken, turkey)",ok,ok,ok,ok,ok,Fresh/frozen only; leftovers accumulate histamine rapidly
Crab salad,Fish & seafood (fresh/frozen),ok,ok,ok,caution,ok,Shellfish high histamine; fresh fin fish ok for most
Lobster salad,Fish & seafood (fresh/frozen),ok,ok,ok,caution,ok,Shellfish high histamine; fresh fin fish ok for most
Salmon salad,Fish & seafood (fresh/frozen),ok,ok,ok,caution,ok,Shellfish high histamine; fresh fin fish ok for most
"Shrimp chow mein or chop suey, no noodles",Fish & seafood (fresh/frozen),ok,ok,ok,caution,ok,Shellfish high histamine; fresh fin fish ok for most
"Tuna salad, made with mayonnaise",Fish & seafood (fresh/frozen),ok,ok,ok,caution,ok,Shellfish high histamine; fresh fin fish ok for most
"Tuna salad, made with light mayonnaise",Fish & seafood (fresh/frozen),ok,ok,ok,caution,ok,Shellfish high histamine; fresh fin fish ok for most
"Tuna salad, made with mayonnaise-type salad dressing",Fish & seafood (fresh/frozen),ok,ok,ok,caution,ok,Shellfish high histamine; fresh fin fish ok for most
"Tuna salad, made with light mayonnaise-type salad dressing",Fish & seafood (fresh/frozen),ok,ok,ok,caution,ok,Shellfish high histamine; fresh fin fish ok for most
"Tuna salad, made with creamy dressing",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Tuna salad, made with light creamy dressing",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Tuna salad, made with Italian dressing",Fish & seafood (fresh/frozen),ok,ok,ok,caution,ok,Shellfish high histamine; fresh fin fish ok for most
"Tuna salad, made with light Italian dressing",Fish & seafood (fresh/frozen),ok,ok,ok,caution,ok,Shellfish high histamine; fresh fin fish ok for most
"Tuna salad, made with any type of fat free dressing",Fish & seafood (fresh/frozen),ok,ok,ok,caution,ok,Shellfish high histamine; fresh fin fish ok for most
Shrimp salad,Fish & seafood (fresh/frozen),ok,ok,ok,caution,ok,Shellfish high histamine; fresh fin fish ok for most
Seafood salad,Fish & seafood (fresh/frozen),ok,ok,ok,caution,ok,Shellfish high histamine; fresh fin fish ok for most
Tuna salad with cheese,Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
Tuna salad with egg,Eggs,ok,ok,ok,ok,neutral,Low histamine; well tolerated
"Shrimp garden salad, shrimp, lettuce, eggs, tomato and/or carrots, other vegetables, no dressing",Eggs,ok,ok,ok,ok,neutral,Low histamine; well tolerated
"Shrimp garden salad, shrimp, lettuce, eggs, vegetables excluding tomato and carrots, no dressing",Eggs,ok,ok,ok,ok,neutral,Low histamine; well tolerated
Crab salad made with imitation crab,Fish & seafood (fresh/frozen),ok,ok,ok,caution,ok,Shellfish high histamine; fresh fin fish ok for most
"Fish, tofu, and vegetables, tempura",Fish & seafood (fresh/frozen),ok,ok,ok,caution,ok,Shellfish high histamine; fresh fin fish ok for most
"Seafood garden salad with seafood, lettuce, vegetables excluding tomato and carrots, no dressing",Fish & seafood (fresh/frozen),ok,ok,ok,caution,ok,Shellfish high histamine; fresh fin fish ok for most
"Seafood garden salad with seafood, lettuce, tomato and/or carrots, other vegetables, no dressing",Fish & seafood (fresh/frozen),ok,ok,ok,caution,ok,Shellfish high histamine; fresh fin fish ok for most
"Seafood garden salad with seafood, lettuce, eggs, vegetables excluding tomato and carrots, no dressing",Eggs,ok,ok,ok,ok,neutral,Low histamine; well tolerated
"Seafood garden salad with seafood, lettuce, eggs, tomato and/or carrots, other vegetables, no dressing",Eggs,ok,ok,ok,ok,neutral,Low histamine; well tolerated
Oysters Rockefeller,Fish & seafood (fresh/frozen),ok,ok,ok,caution,ok,Shellfish high histamine; fresh fin fish ok for most
Lomi salmon,Fish & seafood (fresh/frozen),ok,ok,ok,caution,ok,Shellfish high histamine; fresh fin fish ok for most
"Shrimp and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce",Fish & seafood (fresh/frozen),ok,ok,ok,caution,ok,Shellfish high histamine; fresh fin fish ok for most
"Shrimp and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce",Fish & seafood (fresh/frozen),ok,ok,ok,caution,ok,Shellfish high histamine; fresh fin fish ok for most
"Shrimp and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",Fish & seafood (fresh/frozen),ok,ok,ok,caution,ok,Shellfish high histamine; fresh fin fish ok for most
